year,reporting_org_ref,value_usd,category
2016,PK-VSWA-511-2007,9838.78188584387,<=1M
2017,XI-IATI-VSWA-511-2007,31983.0721103632,<=1M
2020,US-EIN-91-1157127,3215782.67284489,> 1M & <= 10M
2019,US-EIN-91-1157127,7990336.41740798,> 1M & <= 10M
2018,US-EIN-91-1157127,4537621.30813228,> 1M & <= 10M
2017,US-EIN-91-1157127,2483339.78745583,> 1M & <= 10M
2016,US-EIN-91-1157127,182401.624599018,<=1M
2018,XI-GRID-grid.13001.33,18300.41,<=1M
2019,BE-BCE_KBO-0421210424,8199848.77143708,> 1M & <= 10M
2018,BE-BCE_KBO-0421210424,8525450.81640047,> 1M & <= 10M
2017,BE-BCE_KBO-0421210424,7995834.47070881,> 1M & <= 10M
2020,DK-CVR-12921047,2753251.92446668,> 1M & <= 10M
2019,DK-CVR-12921047,4529210.62637185,> 1M & <= 10M
2018,DK-CVR-12921047,4568528.6855559,> 1M & <= 10M
2019,US-EIN-262681792,1611988.95754312,> 1M & <= 10M
2018,US-EIN-262681792,5106618.05702158,> 1M & <= 10M
2017,US-EIN-262681792,12069186.9127138,> 10M & <= 100M
2016,US-EIN-262681792,4631677.97336377,> 1M & <= 10M
2019,BE-BCE_KBO-0423588904,973958.941032819,<=1M
2018,BE-BCE_KBO-0423588904,1506589.61752859,> 1M & <= 10M
2017,BE-BCE_KBO-0423588904,1227037.06765106,> 1M & <= 10M
2020,BD-NAB-0210,792407.271823527,<=1M
2019,BD-NAB-0210,1975160.06617065,> 1M & <= 10M
2018,BD-NAB-0210,1639083.21060861,> 1M & <= 10M
2017,BD-NAB-0210,1793961.63875288,> 1M & <= 10M
2016,BD-NAB-0210,1135349.4249035,> 1M & <= 10M
2020,DK-CVR-18243717,7056813.7375532,> 1M & <= 10M
2019,DK-CVR-18243717,8118836.98571359,> 1M & <= 10M
2018,DK-CVR-18243717,8311713.0105403,> 1M & <= 10M
2020,GH-DSW-3064,88731.0220719682,<=1M
2019,GH-DSW-3064,809142.483408555,<=1M
2018,GH-DSW-3064,1124789.07968401,> 1M & <= 10M
2017,GH-DSW-3064,751841.892283727,<=1M
2016,GH-DSW-3064,376552.355168175,<=1M
2020,NL-KVK-27264198,166686.607536271,<=1M
2019,NL-KVK-27264198,305929.796000067,<=1M
2018,NL-KVK-27264198,319893.133868234,<=1M
