publisher,code,text,count,category,category_year
1-uz,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,<=1M,2018
111111_publisher,6.9.1,The organisation must have an identifier or a narrative.,8,> 1M & <= 10M,2018
111111_publisher,11.2.1,The transaction date must not be in the future.,1,> 1M & <= 10M,2018
111111_publisher,11.2.2,The transaction value date must not be in the future.,1,> 1M & <= 10M,2018
12921047,6.9.1,The organisation must have an identifier or a narrative.,1,> 1M & <= 10M,2018
12921047,11.2.1,The transaction date must not be in the future.,1,> 1M & <= 10M,2018
12921047,11.2.2,The transaction value date must not be in the future.,1,> 1M & <= 10M,2018
3ie,7.5.3,Budget Period must not be longer than one year.,6,> 1M & <= 10M,2018
3ie,4.1.1,"The activity should specify a default language, or the language must be specified for each narrative element.",6,> 1M & <= 10M,2018
_admin,2.2.1,"When using a reporting organisation sector code, it must include a narrative.",1,No spend data for 2018-2020,
_admin,1.1.1,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,1,No spend data for 2018-2020,
_admin,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",1,No spend data for 2018-2020,
_admin,9.88.1,The organisation type is invalid.,1,No spend data for 2018-2020,
_admin,9.89.1,The organisation type is invalid.,1,No spend data for 2018-2020,
_path_,6.9.1,The organisation must have an identifier or a narrative.,1,> 1M & <= 10M,2019
a-t,102.1.1,"When reporting sectors, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",4,> 1M & <= 10M,2018
a-t,11.2.1,The transaction date must not be in the future.,1,> 1M & <= 10M,2018
aab,0.0.0,No messages for publisher,0,> 1M & <= 10M,2019
aadk,1.8.13,"The identifier must not contain any of the symbols /, &, | or ?.",1,> 1M & <= 10M,2018
aadk,1.15.13,"The identifier must not contain any of the symbols /, &, | or ?.",1,> 1M & <= 10M,2018
aag,0.0.0,No messages for publisher,0,> 1M & <= 10M,2018
aahusa,0.0.0,No messages for publisher,0,No spend data for 2018-2020,
